*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,2299A00132.HDF,1-SD,1-AT,109921,27.10,1,0.824,34.18,3.98,30.20,2,2,6,3,2,2,0.5,4881.5,6.4
*data,2299A00143.HDF,1-SD,1-AT,84165,20.75,1,0.824,37.43,1.74,35.69,2,2,6,1,1,0,0,4881.5,6.4
*data,2299A00156.HDF,1-SD,1-AT,102620,25.30,1,0.824,39.95,3.06,36.89,2,2,4,1,1,2,0,4881.5,6.4
*data,2299A00164.HDF,1-SD,1-AT,88992,21.94,1,0.824,29.71,0.91,28.80,2,2,1.5,1,2,2,0,4881.5,6.4
*data,2299A00185.HDF,1-SD,1-AT,91466,22.55,1,0.824,20.62,0.16,20.46,2,2,4,3,1,1,0,4881.5,6.4
*data,2299A00194.HDF,1-SD,1-AT,83962,20.70,1,0.824,29.81,0,29.81,2,2,6,3,2,2,1,4881.5,6.4
*data,2299A00196.HDF,1-SD,1-AT,79662,19.64,1,0.824,68.13,2.94,65.19,2,2,4,1,1,0,0,4881.5,6.4
*data,2299A00202.HDF,1-SD,1-AT,96414,23.77,1,0.824,36.67,1.18,35.49,2,2,6,1,1,1,0,4881.5,6.4
*data,2299A00206.HDF,1-SD,1-AT,84935,20.94,1,0.824,27.66,0.61,27.05,2,2,1.5,3,2,2,1,4881.5,6.4
*data,2299A00210.HDF,1-SD,1-AT,67697,16.69,1,0.824,24.97,0.67,24.30,2,2,4,3,2,1,1,4881.5,6.4
*data,2299A00214.HDF,1-SD,1-AT,86355,21.29,1,0.824,45.15,2.65,42.50,2,2,4,1,1,2,1,4881.5,6.4
*data,2401A00005.HDF,1-SD,1-AT,97308,23.25,1,0.824,25.78,0.85,24.93,2,2,6,2,2,1,1,4617.7,7.9
*data,2401A00007.HDF,1-SD,1-AT,85506,20.43,1,0.824,30.21,3.92,26.29,2,2,6,1,1,0,1,4617.7,7.9
*data,2401A00017.HDF,1-SD,1-AT,69158,25.69,3,0.53,33.82,2.91,30.91,2,2,4,3,2,1,1,4030.8,7.9
