Filename,hse_type,region,HOT2XP_CITY
2213A02070.HDF,1-SD,5-BC,VANCOUVER
2213A02084.HDF,1-SD,5-BC,VANCOUVER
2213A02088.HDF,1-SD,5-BC,VANCOUVER
2213A02101.HDF,1-SD,5-BC,VANCOUVER
2213A02102.HDF,1-SD,5-BC,ABBOTSFORD
2213A02111.HDF,1-SD,5-BC,VANCOUVER
2213A02114.HDF,2-DR,5-BC,VANCOUVER
2213A02124.HDF,1-SD,5-BC,VANCOUVER
2213A02127.HDF,1-SD,5-BC,VANCOUVER
2213A02128.HDF,1-SD,5-BC,VANCOUVER
2213A02135.HDF,1-SD,5-BC,VANCOUVER
2213A02142.HDF,1-SD,5-BC,ABBOTSFORD
2213A02144.HDF,1-SD,5-BC,ABBOTSFORD
2213A02145.HDF,2-DR,5-BC,VANCOUVER
2213A02146.HDF,1-SD,5-BC,ABBOTSFORD
2213A02147.HDF,2-DR,5-BC,ABBOTSFORD
2213A02150.HDF,1-SD,5-BC,VANCOUVER
2213A02161.HDF,1-SD,5-BC,VANCOUVER
2213A02164.HDF,2-DR,5-BC,VANCOUVER
2213A02166.HDF,1-SD,5-BC,VANCOUVER
2213A02170.HDF,2-DR,5-BC,VANCOUVER
2213A02172.HDF,1-SD,5-BC,VANCOUVER
2213A02174.HDF,1-SD,5-BC,VANCOUVER
2213A02176.HDF,1-SD,5-BC,VANCOUVER
2213A02182.HDF,2-DR,5-BC,VANCOUVER
2213A02183.HDF,1-SD,5-BC,VANCOUVER
2213A02199.HDF,1-SD,5-BC,VANCOUVER
2213A02256.HDF,1-SD,5-BC,VANCOUVER
