House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
2402A00188,1-SD,1-AT,DHW_200_Lpd,1.06,Dryer-low,1.40,Stove-high,0.83
2402A00199,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-low,0.97,Stove-med,0.99
2402A00205,1-SD,1-AT,DHW_300_Lpd,1.02,Dryer-low,0.00,Stove-low,1.23
2402A00233,1-SD,1-AT,DHW_200_Lpd,1.16,Dryer-low,1.00,Stove-high,1.20
2402A00276,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-low,0.00,Stove-med,0.92
2402A00278,1-SD,1-AT,DHW_200_Lpd,0.90,Dryer-low,0.09,Stove-med,0.89
2402A00286,1-SD,1-AT,DHW_200_Lpd,0.76,Dryer-low,0.17,Stove-med,0.99
2402A00305,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-low,0.58,Stove-med,1.15
2402A00319,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-med,0.77,Stove-high,1.15
2402A00323,1-SD,1-AT,DHW_200_Lpd,1.02,Dryer-med,0.75,Stove-high,0.90
2402A00333,1-SD,1-AT,DHW_200_Lpd,1.08,Dryer-low,1.04,Stove-med,1.09
2402A00342,1-SD,1-AT,DHW_200_Lpd,1.19,Dryer-low,0.00,Stove-high,0.89
2402A00378,1-SD,1-AT,DHW_300_Lpd,0.85,Dryer-low,0.00,Stove-med,1.21
2402A00412,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-low,0.00,Stove-med,1.18
2402A00413,1-SD,1-AT,DHW_200_Lpd,1.10,Dryer-med,0.78,Stove-med,1.15
2402A00414,1-SD,1-AT,DHW_200_Lpd,0.99,Dryer-low,0.18,Stove-med,0.92
2402A00423,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,1.30,Stove-high,0.83
2402A00429,1-SD,1-AT,DHW_200_Lpd,0.87,Dryer-low,0.00,Stove-med,0.99
2402A00436,1-SD,1-AT,DHW_200_Lpd,0.86,Dryer-med,1.14,Stove-high,0.81
2402A00469,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-low,0.00,Stove-high,1.00
2402A00487,1-SD,1-AT,DHW_300_Lpd,1.03,Dryer-low,0.39,Stove-high,0.83
2402A00488,1-SD,1-AT,DHW_200_Lpd,1.20,Dryer-low,0.59,Stove-high,1.06
2402A00498,1-SD,1-AT,DHW_200_Lpd,0.92,Dryer-low,0.00,Stove-med,1.23
2402A00507,1-SD,1-AT,DHW_300_Lpd,0.90,Dryer-low,0.29,Stove-med,1.24
2402A00509,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-med,0.79,Stove-med,1.13
2402A00531,1-SD,1-AT,DHW_300_Lpd,0.87,Dryer-low,0.44,Stove-high,1.06
2402A00536,1-SD,1-AT,DHW_200_Lpd,1.23,Dryer-low,1.17,Stove-med,0.91
2402A00554,1-SD,1-AT,DHW_200_Lpd,1.22,Dryer-low,0.67,Stove-high,1.11
2402A00567,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-low,0.36,Stove-med,0.84
2402A00591,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.61,Stove-med,1.18
2402A00592,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,0.00,Stove-med,1.17
2402A00595,1-SD,1-AT,DHW_300_Lpd,1.08,Dryer-low,0.91,Stove-high,0.85
2402A00607,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-med,1.00,Stove-med,1.18
2402A00623,1-SD,1-AT,DHW_200_Lpd,1.05,Dryer-low,0.29,Stove-med,1.25
2402A00627,1-SD,1-AT,DHW_200_Lpd,1.21,Dryer-low,1.42,Stove-med,1.19
2402A00668,1-SD,1-AT,DHW_200_Lpd,1.06,Dryer-low,0.70,Stove-high,1.07
2402A00670,1-SD,1-AT,DHW_200_Lpd,1.25,Dryer-med,1.11,Stove-high,1.28
2402A00674,1-SD,1-AT,DHW_200_Lpd,0.90,Dryer-low,0.80,Stove-med,1.11
2402A00717,1-SD,1-AT,DHW_200_Lpd,0.86,Dryer-low,1.32,Stove-med,0.97
2402A00778,1-SD,1-AT,DHW_200_Lpd,1.03,Dryer-low,0.00,Stove-med,1.22
2402A00792,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-med,0.95,Stove-high,1.46
2402A00795,1-SD,1-AT,DHW_200_Lpd,0.88,Dryer-high,0.96,Stove-med,1.30
2402A00797,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-low,0.83,Stove-med,1.12
2402A00798,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-low,1.39,Stove-high,1.19
2402A00812,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-low,0.53,Stove-high,0.93
2402A00826,1-SD,1-AT,DHW_300_Lpd,0.85,Dryer-med,0.86,Stove-high,1.11
2402A00834,1-SD,1-AT,DHW_300_Lpd,0.91,Dryer-low,0.22,Stove-med,1.15
2402A00838,1-SD,1-AT,DHW_200_Lpd,1.03,Dryer-low,1.55,Stove-high,1.07
2402A00858,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.48,Stove-med,0.90
2402A00860,1-SD,1-AT,DHW_300_Lpd,0.95,Dryer-low,0.46,Stove-med,1.21
2402A00870,1-SD,1-AT,DHW_200_Lpd,0.90,Dryer-med,0.73,Stove-high,0.82
2402A00872,1-SD,1-AT,DHW_200_Lpd,1.24,Dryer-low,0.15,Stove-med,0.91
2402A00878,1-SD,1-AT,DHW_300_Lpd,0.85,Dryer-low,1.07,Stove-med,1.09
2402A00885,1-SD,1-AT,DHW_200_Lpd,0.95,Dryer-low,0.00,Stove-med,0.96
2402A00886,1-SD,1-AT,DHW_300_Lpd,0.84,Dryer-low,0.38,Stove-med,0.97
2402A00893,1-SD,1-AT,DHW_200_Lpd,1.20,Dryer-med,0.81,Stove-high,0.98
2402A00900,1-SD,1-AT,DHW_200_Lpd,0.92,Dryer-low,0.62,Stove-high,0.91
2402A00901,1-SD,1-AT,DHW_200_Lpd,1.22,Dryer-low,0.00,Stove-high,0.90
2402A00908,1-SD,1-AT,DHW_200_Lpd,0.98,Dryer-low,0.00,Stove-med,1.15
2402A00918,1-SD,1-AT,DHW_200_Lpd,1.20,Dryer-low,0.49,Stove-high,0.85
2402A00929,1-SD,1-AT,DHW_200_Lpd,0.96,Dryer-med,0.79,Stove-high,0.94
2402A00983,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-low,0.97,Stove-low,1.21
2402A00988,1-SD,1-AT,DHW_200_Lpd,1.06,Dryer-low,1.17,Stove-med,1.15
2402A01011,1-SD,1-AT,DHW_200_Lpd,1.12,Dryer-low,0.00,Stove-med,1.25
2402A01015,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-low,0.00,Stove-high,0.86
2402A01031,1-SD,1-AT,DHW_200_Lpd,1.11,Dryer-low,0.16,Stove-high,1.47
2402A01033,1-SD,1-AT,DHW_300_Lpd,0.93,Dryer-low,0.48,Stove-med,1.07
2402A01045,1-SD,1-AT,DHW_200_Lpd,1.00,Dryer-low,0.65,Stove-med,1.23
2402A01051,1-SD,1-AT,DHW_200_Lpd,0.85,Dryer-low,0.41,Stove-high,1.12
2402A01072,1-SD,1-AT,DHW_200_Lpd,0.97,Dryer-low,0.00,Stove-high,0.98
2402A01073,1-SD,1-AT,DHW_100_Lpd,1.47,Dryer-low,0.80,Stove-low,1.31
2402A01120,1-SD,1-AT,DHW_300_Lpd,1.08,Dryer-med,0.73,Stove-high,0.91
2402A01123,1-SD,1-AT,DHW_200_Lpd,1.22,Dryer-low,0.92,Stove-high,1.05
2402A01131,1-SD,1-AT,DHW_200_Lpd,0.82,Dryer-low,1.13,Stove-med,1.23
2402A01134,1-SD,1-AT,DHW_200_Lpd,0.92,Dryer-low,1.41,Stove-med,1.22
2402A01136,1-SD,1-AT,DHW_200_Lpd,1.11,Dryer-med,0.97,Stove-high,0.97
2402A01344,1-SD,1-AT,DHW_200_Lpd,1.01,Dryer-low,0.11,Stove-med,0.96
2402A01353,1-SD,1-AT,DHW_200_Lpd,0.76,Dryer-low,0.00,Stove-med,1.06
2405A00002,1-SD,1-AT,DHW_200_Lpd,0.95,Dryer-low,1.07,Stove-med,1.19
2405A00004,1-SD,1-AT,DHW_200_Lpd,1.14,Dryer-high,0.93,Stove-high,1.63
2405A00026,1-SD,1-AT,DHW_200_Lpd,0.83,Dryer-low,0.27,Stove-med,0.93
2405A00029,1-SD,1-AT,DHW_200_Lpd,0.99,Dryer-low,0.92,Stove-med,1.09
2407A00034,1-SD,1-AT,DHW_200_Lpd,0.86,Dryer-low,1.46,Stove-high,0.83
2407A00115,1-SD,1-AT,DHW_200_Lpd,1.24,Dryer-low,0.80,Stove-med,1.22
2408A00026,1-SD,1-AT,DHW_200_Lpd,1.03,Dryer-low,0.47,Stove-med,1.13
2408A00050,1-SD,1-AT,DHW_200_Lpd,1.04,Dryer-low,0.04,Stove-med,0.87
2408A00108,1-SD,1-AT,DHW_200_Lpd,0.78,Dryer-low,0.85,Stove-med,0.86
2408A00109,1-SD,1-AT,DHW_200_Lpd,0.87,Dryer-low,0.29,Stove-med,1.21
2408A00110,1-SD,1-AT,DHW_200_Lpd,1.18,Dryer-low,0.99,Stove-med,1.21
2408A00133,1-SD,1-AT,DHW_200_Lpd,0.93,Dryer-low,0.47,Stove-med,1.10
2408A00134,1-SD,1-AT,DHW_200_Lpd,0.91,Dryer-low,1.61,Stove-med,1.07
