Number,File Name,Main Refrigerator (litre),Secondary Refri. (litre),Stove (presence),Dishwasher (loads/week),Main Freezer (litre),Secondary Freezer (litre),Clothes Washer (loads/week),Clothes Dryer (loads/week),Microwave (presence),Color TV (count),BW TV (count),Furnace Fan (presence),Boiler Pump (presence),Supplementary Ht. (count),VCR (count),CD Player (count),Stereo (count),Computer (count),Electric Blanket (count),Water Bed (count),Humidifier (count),Dehumidifier (count),Car Block (count),Car Warmer (count),Water Cooler (presence),Fish Tank (count),Bath. Exh. Fan (count),Kitch. Exh. Fan (presence),Central Air Filter (presence),Central Humidifi. (presence),Central Dehumidif. (presence),Central Air Exch. (presence),HRV (presence),Central Vacuum (presence),Sump Pump (presence),Water Softener (presence),Jacuzzi (presence),Sauna (presence),Ceiling Fan (count),Portable Fan (count),Central A/C (hr/yr),Window A/C (hr/yr),Halogen (count),Fluorescent (count),Incandescent (count),HDD (C-day),CDD (C-day),Area (heated; m^2),"Income ($1,000/yr)",Dwelling Type (0=DR;1=SD),Ownership (1=owner),Population (<=15k;15k-100k;>=100k),No. of Children (count),No. of Adults (count),Employment Ratio (adults_employed/adults)
51,11PTA00180.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,179.67,85,1,1,2,2,2,1
52,2453A00022.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,252.04,85,1,1,2,2,2,1
53,2428A00082.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,252.84,85,1,1,2,2,2,1
54,2426A00309.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,215.85,85,1,1,2,2,2,1
55,2428A00205.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,180.74,85,1,1,2,2,2,1
56,2505A00029.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,148.23,85,1,1,2,2,2,1
57,2901A00459.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,344.71,85,1,1,2,2,2,1
58,2511A00214.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,243.44,85,1,1,2,2,2,1
59,2420A00103.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4617.7,0.9,162.2,85,1,1,2,2,2,1
60,2901A00645.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,266.7,85,1,1,2,2,2,1
61,2433A00074.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,225.33,85,1,1,2,2,2,1
62,2412A00166.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4617.7,0.9,275.83,85,1,1,2,2,2,1
63,2451A00078.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,205.66,85,1,1,2,2,2,1
64,2299A00143.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,4030.8,0.7,235.3,85,1,1,2,2,2,1
65,2402A00378.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,156.24,85,1,1,2,2,2,1
66,2513A00172.HDF,540,0,1,2,350,0,4,3,1,2,0,1,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,8,10,15,5847.2,0,163.83,85,1,1,2,2,2,1
