*header,Filename,GJ,kWh
*data,2402A00233.HDF.No-Dryer,47.27,13132
*data,2402A00276.HDF,22.55,6265
*data,2402A00276.HDF.No-Dryer,22.84,6345
*data,2402A00278.HDF,21.99,6107
*data,2402A00278.HDF.No-Dryer,21.79,6053
*data,2402A00286.HDF,24.56,6823
*data,2402A00286.HDF.No-Dryer,24.19,6721
*data,2402A00305.HDF,29.42,8172
*data,2402A00305.HDF.No-Dryer,28.14,7816
*data,2402A00319.HDF,49.07,13630
*data,2402A00319.HDF.No-Dryer,45.32,12590
*data,2402A00323.HDF,39.31,10919
*data,2402A00323.HDF.No-Dryer,35.63,9897
*data,2402A00333.HDF,29.05,8069
*data,2402A00333.HDF.No-Dryer,26.76,7433
*data,2402A00342.HDF,35.06,9740
*data,2402A00342.HDF.No-Dryer,35.06,9740
*data,2402A00378.HDF,29.56,8210
*data,2402A00378.HDF.No-Dryer,29.56,8210
*data,2402A00412.HDF,28.85,8014
*data,2402A00412.HDF.No-Dryer,28.85,8014
*data,2402A00413.HDF,31.88,8856
*data,2402A00413.HDF.No-Dryer,28.04,7790
*data,2402A00414.HDF,22.89,6359
*data,2402A00414.HDF.No-Dryer,22.50,6250
*data,2402A00423.HDF,35.44,9843
*data,2402A00423.HDF.No-Dryer,32.58,9049
*data,2402A00429.HDF,24.25,6736
*data,2402A00429.HDF.No-Dryer,29.98,8328
*data,2402A00436.HDF,37.60,10444
*data,2402A00436.HDF.No-Dryer,32.01,8893
*data,2402A00469.HDF,39.46,10962
*data,2402A00469.HDF.No-Dryer,39.46,10962
*data,2402A00487.HDF,33.69,9358
*data,2402A00487.HDF.No-Dryer,32.84,9123
*data,2402A00488.HDF,42.93,11926
*data,2402A00488.HDF.No-Dryer,41.62,11561
*data,2402A00498.HDF,30.21,8391
*data,2402A00498.HDF.No-Dryer,30.96,8601
*data,2402A00507.HDF,31.11,8641
*data,2402A00507.HDF.No-Dryer,30.47,8464
*data,2402A00509.HDF,31.48,8744
*data,2402A00509.HDF.No-Dryer,27.59,7663
*data,2402A00531.HDF,42.95,11932
*data,2402A00531.HDF.No-Dryer,41.98,11660
*data,2402A00536.HDF,24.79,6886
*data,2402A00536.HDF.No-Dryer,22.21,6170
*data,2402A00554.HDF,45.20,12555
*data,2402A00554.HDF.No-Dryer,43.73,12146
*data,2402A00567.HDF,21.35,5932
*data,2402A00567.HDF.No-Dryer,20.56,5711
*data,2402A00591.HDF,30.25,8403
*data,2402A00591.HDF.No-Dryer,28.91,8030
*data,2402A00592.HDF,28.58,7940
*data,2402A00592.HDF.No-Dryer,28.58,7940
*data,2402A00595.HDF,35.50,9861
*data,2402A00595.HDF.No-Dryer,33.50,9305
*data,2402A00607.HDF,33.84,9401
*data,2402A00607.HDF.No-Dryer,28.96,8045
*data,2402A00623.HDF,31.27,8687
*data,2402A00623.HDF.No-Dryer,30.63,8509
*data,2402A00627.HDF,32.35,8986
*data,2402A00627.HDF.No-Dryer,29.21,8113
*data,2402A00668.HDF,43.69,12137
*data,2402A00668.HDF.No-Dryer,42.14,11705
*data,2402A00670.HDF,56.08,15577
*data,2402A00670.HDF.No-Dryer,50.63,14064
*data,2402A00674.HDF,29.05,8069
*data,2402A00674.HDF.No-Dryer,27.28,7577
*data,2402A00717.HDF,26.68,7411
*data,2402A00717.HDF.No-Dryer,23.76,6601
*data,2402A00778.HDF,29.91,8307
*data,2402A00778.HDF.No-Dryer,29.91,8307
*data,2402A00792.HDF,62.26,17295
*data,2402A00792.HDF.No-Dryer,57.62,16007
*data,2402A00795.HDF,38.81,10781
*data,2402A00795.HDF.No-Dryer,31.86,8849
*data,2402A00797.HDF,29.19,8108
*data,2402A00797.HDF.No-Dryer,27.35,7596
*data,2402A00798.HDF,49.86,13851
*data,2402A00798.HDF.No-Dryer,46.80,13000
*data,2402A00812.HDF,38.02,10562
*data,2402A00812.HDF.No-Dryer,36.84,10234
*data,2402A00826.HDF,47.95,13319
*data,2402A00826.HDF.No-Dryer,43.72,12144
*data,2402A00834.HDF,28.74,7983
*data,2402A00834.HDF.No-Dryer,28.25,7847
*data,2402A00838.HDF,45.66,12683
*data,2402A00838.HDF.No-Dryer,42.24,11733
*data,2402A00858.HDF,23.04,6400
*data,2402A00858.HDF.No-Dryer,21.99,6107
*data,2402A00860.HDF,30.58,8494
*data,2402A00860.HDF.No-Dryer,29.57,8214
*data,2402A00870.HDF,35.73,9926
*data,2402A00870.HDF.No-Dryer,32.17,8937
*data,2402A00872.HDF,22.52,6256
*data,2402A00872.HDF.No-Dryer,22.19,6163
*data,2402A00878.HDF,29.08,8077
*data,2402A00878.HDF.No-Dryer,26.72,7422
*data,2402A00885.HDF,23.40,6499
*data,2402A00885.HDF.No-Dryer,23.40,6499
*data,2402A00886.HDF,24.61,6835
*data,2402A00886.HDF.No-Dryer,23.78,6605
*data,2402A00893.HDF,42.42,11783
*data,2402A00893.HDF.No-Dryer,38.46,10683
*data,2402A00900.HDF,37.38,10384
*data,2402A00900.HDF.No-Dryer,36.02,10007
*data,2402A00901.HDF,35.33,9813
*data,2402A00901.HDF.No-Dryer,35.33,9813
*data,2402A00908.HDF,28.15,7820
*data,2402A00908.HDF.No-Dryer,34.94,9706
*data,2402A00918.HDF,34.74,9650
*data,2402A00918.HDF.No-Dryer,33.65,9347
*data,2402A00929.HDF,40.82,11339
*data,2402A00929.HDF.No-Dryer,36.97,10270
*data,2402A00983.HDF,20.24,5623
*data,2402A00983.HDF.No-Dryer,18.11,5030
*data,2402A00988.HDF,30.80,8555
*data,2402A00988.HDF.No-Dryer,28.21,7835
*data,2402A01011.HDF,30.55,8485
*data,2402A01011.HDF.No-Dryer,30.55,8485
*data,2402A01015.HDF,33.71,9364
*data,2402A01015.HDF.No-Dryer,33.71,9364
*data,2402A01031.HDF,58.14,16151
*data,2402A01031.HDF.No-Dryer,57.79,16053
*data,2402A01033.HDF,27.28,7577
*data,2402A01033.HDF.No-Dryer,26.23,7285
*data,2402A01045.HDF,31.57,8769
*data,2402A01045.HDF.No-Dryer,30.13,8368
*data,2402A01051.HDF,45.13,12537
*data,2402A01051.HDF.No-Dryer,44.23,12285
*data,2402A01072.HDF,38.83,10786
*data,2402A01072.HDF.No-Dryer,38.83,10786
*data,2402A01073.HDF,21.32,5921
*data,2402A01073.HDF.No-Dryer,19.56,5434
*data,2402A01120.HDF,39.28,10911
*data,2402A01120.HDF.No-Dryer,35.68,9910
*data,2402A01123.HDF,43.53,12093
*data,2402A01123.HDF.No-Dryer,41.50,11529
*data,2402A01131.HDF,32.53,9036
*data,2402A01131.HDF.No-Dryer,30.03,8340
*data,2402A01134.HDF,32.89,9135
*data,2402A01134.HDF.No-Dryer,29.77,8270
*data,2402A01136.HDF,42.81,11893
*data,2402A01136.HDF.No-Dryer,38.08,10578
*data,2402A01344.HDF,23.83,6618
*data,2402A01344.HDF.No-Dryer,23.59,6553
*data,2402A01353.HDF,25.97,7214
*data,2402A01353.HDF.No-Dryer,26.16,7266
*data,2405A00002.HDF,31.62,8782
*data,2405A00002.HDF.No-Dryer,29.25,8125
*data,2405A00004.HDF,71.03,19730
*data,2405A00004.HDF.No-Dryer,64.31,17863
*data,2405A00026.HDF,23.25,6459
*data,2405A00026.HDF.No-Dryer,22.65,6293
*data,2405A00029.HDF,28.75,7985
*data,2405A00029.HDF.No-Dryer,26.71,7420
*data,2407A00034.HDF,35.95,9987
*data,2407A00034.HDF.No-Dryer,32.72,9090
*data,2407A00115.HDF,31.67,8796
*data,2407A00115.HDF.No-Dryer,29.91,8310
*data,2408A00026.HDF,28.68,7967
*data,2408A00026.HDF.No-Dryer,27.64,7678
*data,2408A00050.HDF,21.45,5957
*data,2408A00050.HDF.No-Dryer,21.37,5937
*data,2408A00108.HDF,22.88,6355
*data,2408A00108.HDF.No-Dryer,21.01,5835
*data,2408A00109.HDF,30.21,8391
*data,2408A00109.HDF.No-Dryer,29.58,8215
*data,2408A00110.HDF,31.91,8864
*data,2408A00110.HDF.No-Dryer,29.72,8256
*data,2408A00133.HDF,28.01,7781
*data,2408A00133.HDF.No-Dryer,26.97,7491
*data,2408A00134.HDF,29.86,8294
*data,2408A00134.HDF.No-Dryer,26.31,7307
*data,2408A00138.HDF,44.07,12243
*data,2408A00138.HDF.No-Dryer,40.13,11146
*data,2409A00011.HDF,21.45,5958
*data,2409A00011.HDF.No-Dryer,20.36,5655
*data,2409A00013.HDF,40.65,11291
